,nbi,441.525,490.912,531.319,564.992,609.889,666.011,706.418,865.803
20210720_D3_089,17.66666667,0.03945709392428398,0.04583553597331047,0.07360802590847015,0.08420644700527191,0.07812989503145218,0.06996426731348038,0.14175677299499512,0.2575177252292633
20210720_D3_080,24.86666667,0.03243156895041466,0.037122275680303574,0.06630728393793106,0.070510633289814,0.059793904423713684,0.05089183896780014,0.11996591836214066,0.30492839217185974
20210720_D3_079,40.8,0.03690873086452484,0.04249501973390579,0.0608946792781353,0.06934273988008499,0.06794139742851257,0.06591138988733292,0.11833163350820541,0.25213369727134705
20210720_D3_075,31.03333333,0.035046741366386414,0.040863290429115295,0.06639879196882248,0.07624857127666473,0.07031913101673126,0.06408520042896271,0.12577831745147705,0.2541353404521942
20210720_D3_074,28.33333333,0.04154718294739723,0.047413863241672516,0.0709758847951889,0.0821739062666893,0.07908305525779724,0.07536117732524872,0.1320585310459137,0.24630261957645416
20210720_D3_073,27.36666667,0.035140007734298706,0.04060055688023567,0.06152850389480591,0.0691404864192009,0.06800439208745956,0.0640682578086853,0.11828785389661789,0.22834520041942596
20210720_D3_071,39.83333333,0.0417000912129879,0.04779627546668053,0.06780308485031128,0.07638698816299438,0.07751289010047913,0.07459159940481186,0.12964211404323578,0.23210904002189636
20210720_D3_064,28.3,0.034559398889541626,0.0387854166328907,0.06662780791521072,0.07449199259281158,0.06418102979660034,0.05604869872331619,0.12112780660390854,0.2954016625881195
20210720_D3_065,26.46666667,0.03943147882819176,0.04573628678917885,0.06551926583051682,0.07498997449874878,0.07362619787454605,0.07108850032091141,0.1233195886015892,0.2443273663520813
20210720_D3_070,28.3,0.03879668936133385,0.04491545632481575,0.06372388452291489,0.07247697561979294,0.07310854643583298,0.07153858244419098,0.12650977075099945,0.23082882165908813
20210720_D3_060,20.03333333,0.03954286128282547,0.04604247957468033,0.07025537639856339,0.07880036532878876,0.07649445533752441,0.07232645899057388,0.13401947915554047,0.2397051900625229
20210720_D3_059,19.8,0.039751965552568436,0.045930854976177216,0.0709596499800682,0.08000267297029495,0.07559168338775635,0.07062523066997528,0.13455656170845032,0.25557422637939453
20210720_D3_058,32.33333333,0.04010387510061264,0.046109553426504135,0.06865096837282181,0.07881942391395569,0.07699006795883179,0.07474418729543686,0.13040682673454285,0.2577477693557739
20210720_D3_054,30.3,0.03552412614226341,0.04003587365150452,0.06706243008375168,0.0750667005777359,0.06585119664669037,0.058645136654376984,0.1216202825307846,0.28939059376716614
20210720_D3_041,31.16666667,0.034153055399656296,0.03934318199753761,0.058708757162094116,0.06611119210720062,0.06513529270887375,0.06166721507906914,0.11785587668418884,0.23556636273860931
